"DN";"fid";"name";"date";"island";"gps_id";"radius";"colour_sca";"colour";"class_1";"class_2";"class_3";"cover_wate";"cover_shel";"cover_rock";"cover_chan";"cover_uca";"cover_macr";"uca_class";"greeness";"mangrove";"penetrabil";"camera";"photo";"obs";"ele";"time";"gpxx_Waypo";"wptx1_Wayp";"ctx_Creati";"layer";"path";"area..ha.";"X.finos";"test1_clas";"test2_clas";"test3_clas";"test4_clas";"test5_clas";"test6_clas";"sandy_uca";"teste_fin";"test_fin2";"teste_bs";"finalvalue";"class_name";"train_val";"classname";"fv2";"new_test";"fv3";"fv4";"fv5";"fv6";"finalclass";"uca";"fpc";"ele_2";"time_2";"name_2";"gpxx_Way_1";"wptx1_Wa_1";"ctx_Crea_1";"radius_2";"Spectral1"
3;2479;"2479";"06/03/2019";"Adonga";"1";"10";"10YR";"7A";"wet";"sandy_mud";"uca";25;3;0;0;100;0;"L";"N";"N";20;"-";"-";"várias mini e média uca";3.741868;"2019/03/06 15:17:49.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-06T15:17:49Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;32.83;"muddy_uca";"muddy_uca_water";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2478;"2478";"06/03/2019";"Adonga";"1";"30";"10YR";"7B";"-";"mud";"-";0;0;0;5;0;0;"H";"N";"N";20;"Belo";"100-386/387/391";"sem sed, dificil acesso; semelhante ao sed ID de 2476";1;"2019/03/06 14:48:30.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-06T14:48:30Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.278;88.59;"muddy";"muddy";"muddy";"muddy";"muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"5";"5";"3";"muddy";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2477;"2477";"06/03/2019";"Adonga";"1";"40";"10YR";"7B";"-";"mud";"uca";0;0;0;5;100;0;"H";"N";"N";20;"Belo";"100-386/387/390";"sem sed, dificil acesso; semelhante ao sed ID de 2476";1;"2019/03/06 14:38:27.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-06T14:38:27Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.494;88.59;"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2476;"2476";"06/03/2019";"Adonga";"1";"plot16C";"10YR";"7B";"-";"mud";"uca";0;0;0;5;100;0;"-";"N";"N";20;"Belo";"100-386/387/388";NA;NA;NA;NA;NA;NA;"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";4.673;88.59;"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"validation";"muddy_uca";"2";"5";"1";"4";"6";"4";"muddy_with_FBA";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2475;"2475";"06/03/2019";"Adonga";"1";"plot16B";"10YR";"7B";"-";"mud";"uca";0;0;0;20;100;0;"H";"N";"N";20;"Belo";"100-386/387/388";"area toda do plot execpto faixa de 30 m a norte que � areia; sedID= 2476";NA;NA;NA;NA;NA;"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";6.828;88.59;"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2407;"2407";"25/02/2019";"Adonga";"1";"poligono_2407";"-";"-";"wet";"beach_sand";"-";25;0;0;10;0;0;"-";"S";"N";8;"tel_MH";"08:54";"algum verdete";NA;NA;NA;NA;NA;"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.452;3.58;"sandy";"sandy_water";"sandy";"sandy";"wet_sandy";"sediment";"other";"beach_sand";"beach_sand";"beach_sand";"1";"beach_sand";"validation";"beach_sand";"2";"2";"2";"3";"3";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2409;"2409";"25/02/2019";"Adonga";"1";"10";"10YR";"7A";"wet";"muddy_sand";"-";40;1;0;0;0;0;"-";"N";"N";7;"Belo";"100-289/290";NA;2.785258;"2019/02/25 09:25:54.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-25T09:25:54Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;17.8;"sandy";"sandy_water";"muddy_sand_uca";"muddy";"wet_muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2408;"2408";"25/02/2019";"Adonga";"1";"25";"10YR";"8C";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"L";"N";"N";4;"Belo";"100-287/288";NA;3.321928;"2019/02/25 09:21:00.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-25T09:21:00Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.193;2.15;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2607;"2607";"29/03/2019";"Adonga";"1";"20";"-";"-";"dry";"beach_sand";"-";5;1;0;0;0;0;"-";"N";"N";5;"Belo";"100-682/683";NA;4.614088;"2019/03/29 13:18:06.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T13:18:06Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;1.88;"sandy";"sandy";"sandy";"sandy";"sandy";"sediment";"other";"beach_sand";"beach_sand";"beach_sand";"1";"beach_sand";"validation";"beach_sand";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2602;"2602";"29/03/2019";"Adonga";"1";"20";"-";"-";"wet";"sand";"uca";10;0;0;0;80;0;"H";"N";"N";8;"Belo";"100-680/681";NA;5.239326;"2019/03/29 13:05:14.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T13:05:14Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;5.99;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"1";"3";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2587;"2587";"29/03/2019";"Adonga";"1";"20";"-";"-";"-";"muddy_sand";"-";15;5;0;0;0;0;"-";"N";"N";13;"Belo";"100-654/655";"-";6.341059;"2019/03/29 11:22:25.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T11:22:25Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;13.4;"sandy";"sandy_water";"muddy_sand";"muddy";"muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"validation";"muddy";"2";"4";"2";"4";"5";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2586;"2586";"29/03/2019";"Adonga";"1";"15";"-";"-";"-";"sand";"uca";0;0;0;0;0;0;"-";"N";"N";6;"-";"-";"fotos + sedID= 1-2585";7.807013;"2019/03/29 11:15:34.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T11:15:34Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;5.16;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"2";"3";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2585;"2585";"29/03/2019";"Adonga";"1";"15";"-";"-";"-";"sand";"uca";0;0;0;0;0;0;"-";"N";"N";6;"-";"-";"fotos + sedID= 1-2584";8.891482;"2019/03/29 11:13:45.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T11:13:45Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;4.16;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"2";"1";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2584;"2584";"29/03/2019";"Adonga";"1";"10";"-";"-";"-";"sand";"uca";0;0;0;0;0;0;"-";"N";"N";6;"-";"-";"fotos + sedID= 1-2583";9.193098;"2019/03/29 11:12:36.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T11:12:36Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;4.16;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"2";"1";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2583;"2583";"29/03/2019";"Adonga";"1";"15";"-";"-";"-";"sand";"uca";0;0;0;0;100;0;"H";"N";"N";6;"Belo";"100-652/653";"-";9.489173;"2019/03/29 11:09:07.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T11:09:07Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;4.16;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"other";"4";"sandy_uca";"training";"sandy_uca";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2582;"2582";"29/03/2019";"Adonga";"1";"45";"-";"-";"wet";"sand";"-";30;2;0;0;0;0;"-";"N";"N";5;"Belo";"100-650/651";"muitos buracos";10.459099;"2019/03/29 10:56:19.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T10:56:19Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.626;7.61;"sandy";"sandy_water";"sandy";"sandy";"wet_sandy";"sediment";"other";"sandy";"sandy";"other";"5";"wet_sandy";"validation";"wet_sandy";"2";"4";"2";"3";"3";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2581;"2581";"29/03/2019";"Adonga";"1";"15";"-";"-";"-";"muddy_sand";"-";25;1;0;0;0;0;"-";"N";"N";15;"Belo";"100-647/648";"patches muddy sand";14.308283;"2019/03/29 10:45:47.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T10:45:47Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;17.05;"sandy";"sandy_water";"muddy_sand";"muddy";"wet_muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2580;"2580";"29/03/2019";"Adonga";"1";"5";"-";"-";"wet";"mud";"green_macroalgae";15;0;0;5;0;80;"L";"N";"N";20;"Belo";"100-645/646";"-";2.787849;"2019/03/29 10:01:40.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T10:01:40Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.008;56.9;"muddy";"muddy_water";"muddy";"muddy";"muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"4";"5";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2598;"2598";"29/03/2019";"Adonga";"1";"20";"-";"-";"wet";"beach_sand";"-";5;0;0;0;0;0;"-";"N";"N";7;"Belo";"100-674/675/676/677";"muitos buracos";5.067373;"2019/03/29 12:50:28.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:50:28Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;1.63;"sandy";"sandy";"sandy";"sandy";"sandy";"sediment";"other";"beach_sand";"beach_sand";"beach_sand";"1";"beach_sand";"validation";"beach_sand";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2579;"2579";"29/03/2019";"Adonga";"1";"15";"-";"-";"wet";"mud";"green_macroalgae";15;0;0;5;0;80;"-";"S";"N";20;"Belo";"100-643/644";"-";1.094745;"2019/03/29 09:52:27.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T09:52:27Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;52.74;"muddy";"muddy_water";"muddy";"muddy";"muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"4";"5";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2597;"2597";"29/03/2019";"Adonga";"1";"40";"-";"-";"wet";"beach_sand_uca";"uca";20;0;0;0;50;0;"M";"N";"N";8;"Belo";"100-670/671/672/673";NA;4.853703;"2019/03/29 12:42:40.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:42:40Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.494;5.12;"sandy_uca";"sandy_uca_water";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"3";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2593;"2593";"29/03/2019";"Adonga";"1";"5";"-";"-";"wet";"beach_sand_uca";"uca";0;0;0;0;100;0;"H";"N";"N";5;"Belo";"100-666/667/668/669";NA;6.800133;"2019/03/29 12:31:14.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:31:14Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.008;2.44;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2578;"2578";"29/03/2019";"Adonga";"1";"35";"-";"-";"wet";"sandy_mud";"-";50;1;0;0;0;0;"-";"S";"N";15;"Belo";"100-641/642";"Muito pouco sandy, patches sandy mud";0.922693;"2019/03/29 09:37:51.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T09:37:51Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.379;20.49;"muddy";"muddy_water";"muddy";"muddy";"wet_muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2592;"2592";"29/03/2019";"Adonga";"1";"15";"-";"-";"-";"muddy_sand";"-";10;0;0;0;5;0;"L";"N";"N";18;"Belo";"100-664/665";"patches de mud";6.640942;"2019/03/29 12:22:21.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:22:21Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;9.68;"sandy";"sandy";"sandy";"sandy";"sandy";"sediment";"other";"sandy";"sandy";"other";"3";"sandy";"training";"sandy";"2";"4";"2";"2";"2";"2";"sandy";"2";"1";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2577;"2577";"29/03/2019";"Adonga";"1";"25";"-";"-";"wet";"mud";"green_macroalgae";20;0;0;5;10;70;"L";"N";"N";20;"Belo";"100-639/640";"-";0.896097;"2019/03/29 09:22:41.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T09:22:41Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.193;61.03;"muddy";"muddy_water";"muddy";"muddy";"wet_muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2591;"2591";"29/03/2019";"Adonga";"1";"20";"-";"-";"-";"muddy_sand";"-";15;0;0;0;20;0;"L";"N";"N";17;"Belo";"100-662/663";"patches de mud";4.904856;"2019/03/29 12:12:09.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:12:09Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;13.92;"sandy";"sandy_water";"muddy_sand";"muddy";"muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"5";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2576;"2576";"29/03/2019";"Adonga";"1";"10";"-";"-";"wet";"mud";"green_macroalgae";20;0;0;5;0;70;"-";"S";"N";20;"Belo";"100-637/638";"-";1.061552;"2019/03/29 09:14:57.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T09:14:57Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;46.4;"muddy";"muddy_water";"muddy";"muddy";"wet_muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"6";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2590;"2590";"29/03/2019";"Adonga";"1";"10";"-";"-";"-";"muddy_sand";"-";15;0;0;0;20;0;"L";"N";"N";15;"Belo";"100-660/661";"-";4.054586;"2019/03/29 12:04:47.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T12:04:47Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.031;16.55;"sandy";"sandy_water";"muddy_sand";"muddy";"muddy";"sediment";"other";"sandy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"5";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
3;2574;"2574";"29/03/2019";"Adonga";"1";"15";"-";"-";"wet";"sandy_mud";"-";25;0;0;5;10;0;"L";"N";"N";20;"Belo";"100-633/634";"mini e media uca";1.556448;"2019/03/29 08:50:28.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-29T08:50:28Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;24.39;"muddy";"muddy_water";"muddy";"muddy";"wet_muddy";"sediment";"other";"muddy";"muddy";"other";"6";"muddy";"training";"muddy";"2";"4";"2";"4";"4";"3";"muddy";"2";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
